name,online_order,book_table,rate,votes,location,rest_type,cuisines,average cost for 2
J Spice,Yes,No,3.8,59,Banashankari,Casual Dining,Chinese Indian North,750.0
Hatti Kaapi,Yes,No,4.0,89,Jayanagar,Bites Quick,Beverages Indian South,200.0
Upahara Darshini,Yes,No,3.9,40,Basavanagudi,Casual Dining,Chinese Fast Food Indian Indian North South,600.0
The Chaat Shop,Yes,No,2.5,35,Basavanagudi,Bites Quick,Fast Food,200.0
My Tea House,Yes,No,3.6,62,Banashankari,Bites Cafe Quick,Cafe European Fast Food Italian,600.0
Samskruti - Sanman Gardenia,Yes,No,4.1,139,Jayanagar,Casual Dining,Chinese Indian Indian North South,550.0
Chumma Delicious,Yes,No,3.7,237,Banashankari,Bites Quick,Fast Food Indian South,200.0
New Prashanth Hotel,Yes,No,3.9,388,Banashankari,Casual Dining,Andhra Biryani Indian North Seafood,650.0
Dwaraka Grand,Yes,No,3.9,128,Kumaraswamy Layout,Casual Dining,Chinese Food Indian Juices South Street,500.0
Gufha - The President Hotel,Yes,Yes,4.1,1875,Jayanagar,Casual Dining,Afghani Indian Mughlai North,1200.0
Cafe Vivacity,Yes,No,3.8,90,Banashankari,Cafe,Cafe,650.0
Mojo Pizza - 2X Toppings,Yes,No,4.2,179,Banashankari,Delivery,Pizza,600.0
South Kitchen,Yes,No,4.3,275,Basavanagudi,Bites Quick,Indian South,100.0
Chung Wah,Yes,No,3.7,323,Jayanagar,Casual Dining,Chinese Momos Thai,850.0
Prems Graama Bhojanam,Yes,No,4.3,322,Jayanagar,Casual Dining,Indian South,400.0
Java City,Yes,No,2.6,157,Jayanagar,Cafe,American Cafe Pizza,450.0
Kamat Bugle Rock,Yes,No,3.9,543,Basavanagudi,Bites Quick,Fast Food Indian South,300.0
Woodee Pizza,Yes,No,3.7,180,Banashankari,Cafe,Beverages Cafe Fast Food Pizza,500.0
Puliyogare Point,Yes,No,4.2,444,Basavanagudi,Bites Quick,Indian South,100.0
Bangalore Agarwal Bhavan,Yes,No,3.9,134,Jayanagar,Bites Quick,Food Indian Indian North South Street,400.0
Rustic Stove,Yes,No,3.8,577,Jayanagar,Casual Dining,Beverages Biryani Indian Indian North South,900.0
De Thaali,Yes,No,3.9,144,Jayanagar,Casual Dining,Chinese Indian North Rolls,550.0
Spice Elephant,Yes,No,4.1,787,Banashankari,Casual Dining,Chinese Indian North Thai,800.0
Matru Sagar,Yes,No,3.6,84,Banashankari,Bites Quick,Chinese Indian Indian North South,250.0
Sea Spice by 7 Star,Yes,Yes,4.0,349,Banashankari,Casual Dining,Beverages Biryani Indian Indian Kebab North Seafood South,1200.0
Desi Dawat,Yes,No,3.7,248,Kumaraswamy Layout,Bites Quick,Fast Food Indian North,400.0
Cafe Aira,Yes,No,4.1,216,Basavanagudi,Cafe,Beverages Cafe Continental Desserts,500.0
Penthouse Cafe,Yes,No,4.0,324,Banashankari,Cafe,Cafe Continental Italian,700.0
Mast Punjabi,Yes,No,2.6,231,Kumaraswamy Layout,Bites Quick,Biryani Chinese Indian Kebab North Rolls,400.0
South Grand,Yes,No,3.4,102,Uttarahalli,Casual Dining,Beverages Chinese Indian Indian North South,400.0
Catch-up-ino,Yes,No,3.9,133,Banashankari,Cafe,Cafe Chinese Continental Fast Food Momos,800.0
The Pizzeria,Yes,No,2.8,45,Banashankari,Casual Dining,Italian Pizza Salad,800.0
Ruchis Point,Yes,No,3.8,75,Banashankari,Bites Quick,Chinese Fast Food,200.0
Firangi Bake,Yes,No,4.0,53,Rajarajeshwari Nagar,Delivery,Italian Mexican,600.0
The Royal Corner - Pai Viceroy,Yes,Yes,4.2,815,Jayanagar,Casual Dining,Chinese Indian North,900.0
Hara Fine Dine,Yes,Yes,4.0,633,Banashankari,Casual Dining,Chinese Indian North,800.0
Chocoberry,Yes,No,3.5,56,Jayanagar,Dessert Parlor,Beverages Cream Desserts Ice,400.0
Waffle-A-Go Go,Yes,No,3.9,70,Banashankari,Dessert Parlor,Cream Desserts Fast Food Ice,400.0
Cross Road Cafe,Yes,No,3.9,91,Jayanagar,Cafe,Cafe Chinese Fast Food,300.0
Bakers Town,Yes,No,3.8,77,Kumaraswamy Layout,Cafe,Cafe Continental Fast Food,650.0
Ivy,Yes,No,3.8,210,Kumaraswamy Layout,Casual Dining,Chinese Fast Food Indian North,600.0
The Airos,Yes,No,4.1,130,Jayanagar,Cafe,Cafe Italian Pizza,650.0
Chai Kraft,Yes,No,4.1,30,Jayanagar,Beverage Shop,Beverages Tea,100.0
Kirthi's Biryani,Yes,No,3.8,144,Banashankari,Cafe,Cafe Chinese Italian,700.0
The Trundle,Yes,No,3.7,133,Jayanagar,Casual Dining,Chinese Continental Indian North Thai,700.0
The Krishna Grand Xpress,Yes,No,4.0,136,Jayanagar,Bites Quick,Fast Food Indian South,350.0
Udupi Grand,Yes,No,3.8,74,Basavanagudi,Bites Quick,Chinese Indian Indian North South,300.0
Little Cafe,Yes,No,3.7,54,Basavanagudi,Cafe,Beverages Cafe,600.0
1980s Games Cafe,Yes,No,3.4,58,Basavanagudi,Cafe,Cafe Fast Food,400.0
Kadala Tarangaa,Yes,No,3.6,129,Banashankari,Casual Dining,Indian Mangalorean North Seafood,600.0
As On Fire,Yes,No,3.5,41,South Bangalore,Food Truck,BBQ Fast Food Pizza,400.0
Curry Leaves,Yes,No,4.1,176,Basavanagudi,Casual Dining,Andhra Chinese Indian North,800.0
Magic Meals,Yes,No,3.7,47,Jayanagar,Bites Dessert Parlor Quick,Beverages Desserts Fast Food,400.0
Desi Cream Junction,Yes,Yes,3.7,36,Jayanagar,Casual Dining,Chinese Indian Italian North Pizza,650.0
Eat Repeat,Yes,No,3.9,101,Basavanagudi,Bites Quick,Indian South,150.0
Salut,Yes,Yes,4.1,442,Jayanagar,Casual Dining Pub,Continental Finger Food Pizza Seafood,1200.0
Sandwich Mama's And Frozen Monster,Yes,No,3.8,53,Jayanagar,Bites Quick,Beverages Cream Fast Food Ice,250.0
Food Springs,Yes,No,4.0,232,Jayanagar,Bites Quick,Chinese Indian South,400.0
Chung's Chinese Corner,Yes,No,3.9,221,Jayanagar,Casual Dining,Chinese,700.0
Eurasia Pasta and Barbeque by Little Italy,Yes,Yes,4.1,1063,Jayanagar,Bar Casual Dining,BBQ Fast Food Italian Salad,1200.0
Goli Vada Pav No. 1,Yes,No,3.7,93,Basavanagudi,Bites Quick,Food Street,200.0
Ragoo's,Yes,No,3.9,233,Jayanagar,Casual Dining,Indian Italian North Pizza Salad,800.0
Pure & Natural,Yes,No,3.9,211,Jayanagar,Casual Dining,Beverages Continental Fast Food Food Healthy Salad,500.0
Maiyas,Yes,No,4.0,1778,Jayanagar,Bites Quick,Fast Food Indian Indian Juices North South,200.0
Sip n Dine,Yes,No,3.6,218,Vijay Nagar,Casual Dining,Chinese Indian Indian North South,800.0
Cafe Mondo,Yes,No,3.7,514,Basavanagudi,Cafe,Beverages Cafe Italian,600.0
Jalpaan,Yes,Yes,4.0,866,Jayanagar,Casual Dining,Continental Indian North,900.0
Kataria's Pakwan,Yes,No,3.2,96,Kumaraswamy Layout,Bites Quick,Indian North,400.0
Juicy Momos,Yes,No,3.5,80,Banashankari,Bites Quick,Momos Tibetan,250.0
Amande Patisserie,Yes,No,4.0,73,Basavanagudi,Bakery,Bakery Desserts French,300.0
Anand Sweets and Savouries,Yes,No,3.9,84,Jayanagar,Shop Sweet,Food Mithai Street,400.0
Chicken Hunt,Yes,No,3.5,88,Banashankari,Bites Quick,Biryani Chinese Indian Indian North South,350.0
Swadesh Tadka,Yes,No,3.5,179,Banashankari,Casual Dining,Beverages Chinese Indian North,600.0
Cane-O-La,Yes,No,3.8,61,Basavanagudi,Bites Quick,Juices,100.0
New Biryani Mane,Yes,No,3.7,128,Uttarahalli,Casual Dining,Biryani Chinese Indian Indian North South,450.0
Upahara Darshini,Yes,No,3.8,339,Jayanagar,Bites Quick,Chinese Indian Indian North South,400.0
Karnataka Bhel House,Yes,No,4.1,449,Basavanagudi,Bites Quick,Food Street,100.0
Sreeraj Lassi Bar,Yes,No,4.1,210,Jayanagar,Beverage Dessert Parlor Shop,Beverages,150.0
Bunt's Biriyani Palace,Yes,No,3.0,213,Banashankari,Bites Quick,Biryani Chinese Indian Indian North Seafood South,400.0
Chai Point,Yes,No,3.2,208,Jayanagar,Beverage Bites Quick Shop,Beverages Fast Food Tea,250.0
Janahaar,Yes,No,3.8,70,Banashankari,Bites Quick,Indian South,100.0
Redberrys,Yes,No,4.0,219,Basavanagudi,Cafe,Cafe Italian,600.0
Utsav,Yes,No,3.7,59,Banashankari,Bites Quick,Food Indian North Street,200.0
The Spice Saga,Yes,No,3.7,124,Kumaraswamy Layout,Casual Dining,Biryani Chinese Indian North Seafood,750.0
Jalsa,Yes,Yes,4.1,775,Banashankari,Casual Dining,Chinese Indian Mughlai North,800.0
Subz,Yes,Yes,4.2,2022,Jayanagar,Casual Dining,Indian Indian North South,1000.0
Cafe Shuffle,Yes,Yes,4.2,150,Banashankari,Cafe,Cafe Continental Italian,600.0
Mint and Mustard,Yes,No,4.0,232,Basavanagudi,Casual Dining,Chinese Indian North,750.0
Punjabi Raswada,Yes,Yes,3.5,431,Jayanagar,Casual Dining,Indian North,800.0
Vinny's,Yes,Yes,4.2,2115,Banashankari,Casual Dining,Continental Desserts Italian Pizza,800.0
Kapoor's Cafe,Yes,No,4.2,150,Jayanagar,Casual Dining,Indian North,800.0
Sukh Sagar,Yes,No,3.8,155,Jayanagar,Casual Dining,Chinese Food Indian Indian North South Street,450.0
Andhra Ruchulu,Yes,Yes,4.1,666,Jayanagar,Bar Casual Dining,Andhra Biryani Chinese Indian North,1000.0
Steaming Mugs,Yes,No,3.9,240,Basavanagudi,Cafe,Cafe,700.0
San Churro Cafe,Yes,No,3.8,918,Banashankari,Cafe Casual Dining,Cafe Italian Mexican,800.0
Rajathadri Food Fort,Yes,No,4.0,465,Jayanagar,Casual Dining,Chinese Food Indian Indian North South Street,600.0
Brew Meister,Yes,Yes,4.1,970,Jayanagar,Casual Dining Microbrewery,American Asian Continental Finger Food Indian North,1500.0
Rasoi,Yes,No,3.3,128,Banashankari,Bites Quick,Chinese Indian North,300.0
Mr. Singh Da Dhaba,Yes,No,3.6,241,Kumaraswamy Layout,Bites Quick,Chinese Indian North,300.0
Ayodhya Upachar,Yes,No,4.3,734,Banashankari,Bites Quick,Chinese Food Indian Indian North South Street,200.0
Biriyani Mane,Yes,No,3.8,130,Jayanagar,Bites Quick,Biryani Indian North,400.0
Cafe Ajfan,Yes,No,4.2,261,Jayanagar,Cafe,Beverages Cafe Continental,700.0
Brundhavana Food Point,Yes,No,4.0,191,Kumaraswamy Layout,Bites Quick,Beverages Chinese Food Indian Indian North South Street,300.0
SLV Corner Restaurant,Yes,No,4.1,364,Basavanagudi,Casual Dining,Chinese Food Indian Indian Juices North Rolls South Street,550.0
The Krishna Grand,Yes,No,3.9,888,Banashankari,Casual Dining,Chinese Fast Food Indian Indian Juices North South,750.0
Roti Ghar,Yes,No,3.9,750,Basavanagudi,Casual Dining,Chinese Indian Indian North South,500.0
The Coffee Shack,Yes,Yes,4.2,164,Banashankari,Cafe,Cafe Chinese Continental Italian,500.0
Baisakhi,Yes,No,3.8,527,Basavanagudi,Casual Dining,Indian North,500.0
Corner House Ice Cream,No,No,4.3,345,Banashankari,Dessert Parlor,Cream Desserts Ice,400.0
Poonam Sweets,No,No,4.4,356,Banashankari,Shop Sweet,Mithai,150.0
Old Mumbai Ice Cream,Yes,No,3.9,38,Banashankari,Dessert Parlor,Cream Ice,150.0
Polar Bear,Yes,No,3.9,116,Banashankari,Dessert Parlor,Beverages Cream Desserts Ice Sandwich,400.0
San Churro Cafe,Yes,No,3.8,918,Banashankari,Cafe Casual Dining,Cafe Italian Mexican,800.0
Kirthi's Biryani,Yes,No,3.8,144,Banashankari,Cafe,Cafe Chinese Italian,700.0
Stoned Monkey,Yes,No,4.3,860,Banashankari,Dessert Parlor,Cream Desserts Ice,500.0
Floured-Baked With Love,No,No,3.8,45,Banashankari,Delivery Takeaway,Bakery,400.0
Waffle-A-Go Go,Yes,No,3.9,70,Banashankari,Dessert Parlor,Cream Desserts Fast Food Ice,400.0
Sri Venkateshwara Sweet Meat Stall,No,No,4.0,98,Basavanagudi,Bites Quick Shop Sweet,Chinese Food Indian Mithai North Street,400.0
Redberrys,Yes,No,4.0,219,Basavanagudi,Cafe,Cafe Italian,600.0
Amande Patisserie,Yes,No,4.0,73,Basavanagudi,Bakery,Bakery Desserts French,300.0
A2B Veg - Adyar Ananda Bhavan,Yes,No,2.7,97,Basavanagudi,Casual Dining,Chinese Food Indian Indian North South Street,400.0
The Krishna Grand,Yes,No,3.9,888,Banashankari,Casual Dining,Chinese Fast Food Indian Indian Juices North South,750.0
Sea Spice by 7 Star,Yes,Yes,4.0,349,Banashankari,Casual Dining,Beverages Biryani Indian Indian Kebab North Seafood South,1200.0
Mini Punjabi Dhaba,Yes,No,4.2,287,Banashankari,Bites Quick,Indian North,350.0
Onesta,Yes,Yes,4.6,2556,Banashankari,Cafe Casual Dining,Cafe Italian Pizza,600.0
Wamama,Yes,Yes,4.2,354,Banashankari,Casual Dining,Asian Chinese Indonesian Japanese Korean Momos Thai,800.0
Jalsa,Yes,Yes,4.1,775,Banashankari,Casual Dining,Chinese Indian Mughlai North,800.0
Vinny's,Yes,Yes,4.2,2115,Banashankari,Casual Dining,Continental Desserts Italian Pizza,800.0
Jcubez,No,Yes,3.8,977,Banashankari,Lounge,Finger Food,1300.0
Gustoes Beer House,No,No,4.1,868,Banashankari,Pub,Chinese Continental Indian Italian Mexican North Steak,1200.0
Penthouse Cafe,Yes,No,4.0,324,Banashankari,Cafe,Cafe Continental Italian,700.0
Spice Elephant,Yes,No,4.1,787,Banashankari,Casual Dining,Chinese Indian North Thai,800.0
Smacznego,Yes,No,4.2,504,Banashankari,Cafe,Beverages Cafe Italian Mexican Momos,550.0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1,402,Banashankari,Cafe,Cafe,500.0
Cafe Shuffle,Yes,Yes,4.2,150,Banashankari,Cafe,Cafe Continental Italian,600.0
The Coffee Shack,Yes,Yes,4.2,164,Banashankari,Cafe,Cafe Chinese Continental Italian,500.0
Peppy Peppers,No,No,4.2,244,Banashankari,Casual Dining,Indian Italian Mexican North,800.0
Anna Kuteera,Yes,No,4.0,771,Banashankari,Casual Dining,Chinese Indian Indian North South,450.0
Szechuan Dragon,Yes,No,4.2,1647,Banashankari,Casual Dining,Chinese Momos Thai,600.0
1947,No,Yes,4.0,808,Banashankari,Casual Dining,Chinese Indian North,850.0
